index,stereo,stereo_pred,stereo_soft,stereo_pred_soft
0,0,0,0.0474258731775667,0.0
1,0,0,0.0474258731775667,0.1
2,0,1,0.0474258731775667,0.9
3,1,1,0.7310585786300049,0.5
4,0,0,0.2689414213699951,0.2
5,1,1,0.7310585786300049,0.6
6,1,1,0.7310585786300049,0.75
7,1,0,0.9525741268224334,0.1
8,1,0,0.7310585786300049,0.2
9,0,0,0.0474258731775667,0.0
10,1,1,0.7310585786300049,0.7
11,0,0,0.0474258731775667,0.0
12,0,1,0.0474258731775667,0.8
13,1,0,0.9525741268224334,0.1
14,0,0,0.0474258731775667,0.0
15,0,0,0.0474258731775667,0.4
16,1,0,0.7310585786300049,0.1
17,0,0,0.0474258731775667,0.0
18,0,1,0.2689414213699951,0.75
19,0,0,0.0474258731775667,0.1
20,1,1,0.9525741268224334,0.6
21,1,0,0.7310585786300049,0.3
22,1,1,0.7310585786300049,0.5
23,1,0,0.7310585786300049,0.4
24,1,1,0.9525741268224334,0.8
25,0,0,0.0474258731775667,0.0
26,1,0,0.7310585786300049,0.2
27,0,0,0.0474258731775667,0.2
28,1,0,0.7310585786300049,0.2
29,0,0,0.0474258731775667,0.0
30,0,0,0.0474258731775667,0.0
31,0,0,0.0474258731775667,0.1
32,0,0,0.0474258731775667,0.2
33,0,0,0.0474258731775667,0.3
34,0,0,0.0474258731775667,0.1
35,0,0,0.0474258731775667,0.0
36,0,0,0.0474258731775667,0.1
37,1,1,0.9525741268224334,0.8
38,0,0,0.0474258731775667,0.3
39,0,0,0.2689414213699951,0.1
40,1,1,0.9525741268224334,0.7
41,0,1,0.2689414213699951,0.5
42,1,0,0.9525741268224334,0.2
43,0,0,0.2689414213699951,0.0
44,1,0,0.7310585786300049,0.1
45,0,0,0.0474258731775667,0.2
46,0,1,0.0474258731775667,0.8
47,0,0,0.0474258731775667,0.1
48,0,0,0.0474258731775667,0.2
49,1,0,0.9525741268224334,0.3
50,0,1,0.2689414213699951,0.8
51,0,0,0.0474258731775667,0.0
52,0,0,0.2689414213699951,0.2
53,1,1,0.7310585786300049,0.8
54,0,0,0.0474258731775667,0.0
55,0,1,0.0474258731775667,0.5
56,0,1,0.0474258731775667,0.5
57,1,0,0.7310585786300049,0.2
58,1,1,0.9525741268224334,0.75
59,0,0,0.0474258731775667,0.0
60,0,1,0.2689414213699951,0.9
61,0,1,0.0474258731775667,1.0
62,0,1,0.0474258731775667,0.7
63,0,0,0.0474258731775667,0.0
64,0,0,0.0474258731775667,0.0
65,0,0,0.0474258731775667,0.0
66,0,0,0.0474258731775667,0.4
67,1,0,0.9525741268224334,0.0
68,1,1,0.7310585786300049,0.8
69,1,1,0.7310585786300049,0.6
70,0,0,0.2689414213699951,0.0
71,0,0,0.0474258731775667,0.2
951,1,1,0.9525741268224334,0.7
952,0,0,0.0474258731775667,0.2
953,0,1,0.0474258731775667,0.5
954,1,1,0.7310585786300049,0.75
955,0,0,0.0474258731775667,0.05
956,0,0,0.0474258731775667,0.0
957,1,1,0.9525741268224334,0.5
958,1,1,0.7310585786300049,0.9
959,0,0,0.2689414213699951,0.1
960,0,1,0.0474258731775667,0.5
961,0,0,0.0474258731775667,0.2
962,0,0,0.0474258731775667,0.1
963,0,0,0.0474258731775667,0.4
964,0,0,0.0474258731775667,0.0
965,0,0,0.0474258731775667,0.1
966,0,0,0.0474258731775667,0.15
967,0,0,0.0474258731775667,0.2
968,1,1,0.9525741268224334,0.9
969,0,0,0.0474258731775667,0.1
970,0,0,0.0474258731775667,0.1
971,0,1,0.0474258731775667,0.6
972,1,1,0.7310585786300049,1.0
